#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 201197:2984 | 08/18/12 20:30:06 | 23   | 23   | 1113014.691    | 1060895.735   |
| 201199:2984 | 08/18/12 20:59:52 | 6    | 6    | 282040.459     | 197659.379    |
| 201200:2984 | 08/18/12 21:05:50 | 184  | 184  | 8284316.797    | 8214394.457   |
| 201202:2984 | 08/18/12 22:22:37 | 436  | 436  | 17351626.441   | 17211678.336  |
| 201229:2987 | 08/19/12 09:31:07 | 48   | 48   | 7332099.200    | 7144403.800   |
| 201278:2991 | 08/20/12 14:36:33 | 2088 | 2088 | 171069005.931  | 168961490.680 |
| 201535:2994 | 08/22/12 19:05:49 | 55   | 55   | 122753.629     | 118663.119    |
| 201554:2995 | 08/22/12 22:36:24 | 45   | 45   | 6777584.516    | 6521936.306   |
| 201602:2996 | 08/23/12 12:32:17 | 547  | 547  | 68576144.819   | 66744763.910  |
| 201611:2997 | 08/23/12 18:47:29 | 81   | 81   | 12610614.034   | 11908259.914  |
| 201624:2998 | 08/24/12 04:36:17 | 141  | 141  | 22431263.921   | 21471101.752  |
| 201625:2998 | 08/24/12 07:14:50 | 733  | 733  | 73486652.304   | 72660038.716  |
| 201657:3000 | 08/24/12 19:38:05 | 29   | 29   | 4670830.107    | 4286736.085   |
| 201658:3000 | 08/24/12 20:06:50 | 275  | 275  | 37477446.052   | 36731916.323  |
| 201668:3002 | 08/25/12 05:37:29 | 72   | 72   | 11297081.387   | 10696009.657  |
| 201669:3002 | 08/25/12 06:12:02 | 143  | 143  | 20048697.546   | 19532304.302  |
| 201671:3002 | 08/25/12 07:20:16 | 998  | 998  | 96052180.598   | 94755268.697  |
| 201678:3002 | 08/25/12 14:13:24 | 120  | 120  | 8360116.627    | 8275182.347   |
| 201679:3002 | 08/25/12 15:04:49 | 483  | 483  | 29307676.391   | 29013195.982  |
| 201705:3005 | 08/26/12 05:06:34 | 116  | 116  | 17133578.566   | 16576452.167  |
| 201706:3005 | 08/26/12 05:57:17 | 54   | 54   | 7275862.230    | 7155346.424   |
| 201707:3005 | 08/26/12 06:26:52 | 963  | 963  | 94725257.451   | 93624695.076  |
| 201708:3005 | 08/26/12 12:49:10 | 79   | 79   | 5757316.540    | 5713143.985   |
| 201718:3006 | 08/26/12 18:10:49 | 47   | 47   | 7001542.536    | 6821251.974   |
| 201727:3007 | 08/26/12 20:56:00 | 152  | 152  | 22030125.114   | 21324863.515  |
| 201729:3007 | 08/26/12 22:04:07 | 226  | 226  | 28338500.526   | 27963799.251  |
| 201802:3011 | 08/27/12 22:12:06 | 209  | 209  | 30642516.541   | 29319547.706  |
| 201816:3011 | 08/28/12 02:10:19 | 157  | 157  | 15996499.934   | 15789646.202  |
